Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
Starter Switch,Starter,2108,{B:0},0,1,,
Aircon Switch,Aircon,2108,{B:1},0,1,,
Brake Switch,Brake,2108,{B:3},0,1,,
Park Neutral,ParkNeutral,2108,{B:4},0,1,,
Vtec Pressure,VtecPres,2108,{B:7},0,1,,
SCS,SCS,2109,{B:3},0,1,,
Vtec Soleniod,VTS,210A,{B:2},0,1,,
Main Relay,MainRelay,210B,{B:0},0,1,,
Aircon Clutch,AcClutch,210B,{B:1},0,1,,
O2 Heater 1,O2Heater1,210B,{B:2},0,1,,
Check Engine Light,CEL,210B,{B:5},0,1,,
O2 Heater 2,O2Heater2,210B,{B:7},0,1,,
Alternator Control,AltC,210C,{B:0},0,1,,
Fan Control,FanC,210C,{B:1},0,1,,
IAB,IAB,210C,{B:2},0,1,,
Econo,Econo,210C,{B:7},0,1,,
Mount,Mount,210D,{B:3},0,1,,
Closed Loop,ClosedLoop,210F,{B:0},0,1,,
